year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,n_birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,n_death_country,religion
2000,Economics,The Sveriges Riksbank Prize in Economic Sciences 2000,"""for his development of theory and methods for analyzing discrete choice""",1.פבר׳,733,Individual,Daniel L. McFadden,29.7.1937,"Raleigh, NC",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,NA,NA,NA,NA,
2001,Economics,The Sveriges Riksbank Prize in Economic Sciences 2001,"""for their analyses of markets with asymmetric information""",1.מרץ,744,Individual,George A. Akerlof,17.6.1940,"New Haven, CT",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,NA,NA,NA,NA,
2001,Economics,The Sveriges Riksbank Prize in Economic Sciences 2001,"""for their analyses of markets with asymmetric information""",1.מרץ,745,Individual,A. Michael Spence,1.1.1943,"Montclair, NJ",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,NA,NA,NA,NA,
2001,Economics,The Sveriges Riksbank Prize in Economic Sciences 2001,"""for their analyses of markets with asymmetric information""",1.מרץ,746,Individual,Joseph E. Stiglitz,9.2.1943,"Gary, IN",United States of America,United States of America,Male,Columbia University,"New York, NY",United States of America,NA,NA,NA,NA,
2002,Economics,The Sveriges Riksbank Prize in Economic Sciences 2002,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",1.פבר׳,759,Individual,Daniel Kahneman,5.3.1934,Tel Aviv,British Mandate of Palestine (Israel),Israel,Male,Princeton University,"Princeton, NJ",United States of America,NA,NA,NA,NA,
2002,Economics,The Sveriges Riksbank Prize in Economic Sciences 2002,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms""",1.פבר׳,760,Individual,Vernon L. Smith,1.1.1927,"Wichita, KS",United States of America,United States of America,Male,George Mason University,"Fairfax, VA",United States of America,NA,NA,NA,NA,
2003,Economics,The Sveriges Riksbank Prize in Economic Sciences 2003,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",1.פבר׳,771,Individual,Robert F. Engle III,10.11.1942,"Syracuse, NY",United States of America,United States of America,Male,New York University,"New York, NY",United States of America,NA,NA,NA,NA,
2003,Economics,The Sveriges Riksbank Prize in Economic Sciences 2003,"""for methods of analyzing economic time series with common trends (cointegration)""",1.פבר׳,772,Individual,Clive W.J. Granger,4.9.1934,Swansea,United Kingdom,United Kingdom,Male,University of California,"San Diego, CA",United States of America,27.5.2009,"San Diego, CA",United States of America,United States of America,
2004,Economics,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",1.פבר׳,786,Individual,Finn E. Kydland,1.12.1943,Gjesdal,Norway,Norway,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America,NA,NA,NA,NA,
2004,Economics,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",1.פבר׳,787,Individual,Edward C. Prescott,26.12.1940,"Glens Falls, NY",United States of America,United States of America,Male,Arizona State University,"Tempe, AZ",United States of America,NA,NA,NA,NA,
2005,Economics,The Sveriges Riksbank Prize in Economic Sciences 2005,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",1.פבר׳,799,Individual,Robert J. Aumann,8.6.1930,Frankfurt-on-the-Main,Germany,Germany,Male,"University of Jerusalem, Center for RationalityHebrew",Jerusalem,Israel,NA,NA,NA,NA,
2005,Economics,The Sveriges Riksbank Prize in Economic Sciences 2005,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",1.פבר׳,800,Individual,Thomas C. Schelling,14.4.1921,"Oakland, CA",United States of America,United States of America,Male,"University of Maryland, Department of Economics and School of Public Policy","College Park, MD",United States of America,13.12.2016,"Bethesda, MD",United States of America,United States of America,
2006,Economics,The Sveriges Riksbank Prize in Economic Sciences 2006,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",1.ינו׳,807,Individual,Edmund S. Phelps,26.7.1933,"Evanston, IL",United States of America,United States of America,Male,Columbia University,"New York, NY",United States of America,NA,NA,NA,NA,
2007,Economics,The Sveriges Riksbank Prize in Economic Sciences 2007,"""for having laid the foundations of mechanism design theory""",1.מרץ,821,Individual,Eric S. Maskin,12.12.1950,"New York, NY",United States of America,United States of America,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,NA,NA,NA,NA,
2007,Economics,The Sveriges Riksbank Prize in Economic Sciences 2007,"""for having laid the foundations of mechanism design theory""",1.מרץ,822,Individual,Roger B. Myerson,29.3.1951,"Boston, MA",United States of America,United States of America,Male,University of Chicago,"Chicago, IL",United States of America,NA,NA,NA,NA,
2007,Economics,The Sveriges Riksbank Prize in Economic Sciences 2007,"""for having laid the foundations of mechanism design theory""",1.מרץ,820,Individual,Leonid Hurwicz,21.8.1917,Moscow,Russia,Russia,Male,University of Minnesota,"Minneapolis, MN",United States of America,24.6.2008,"Minneapolis, MN",United States of America,United States of America,
2008,Economics,The Sveriges Riksbank Prize in Economic Sciences 2008,"""for his analysis of trade patterns and location of economic activity""",1.ינו׳,834,Individual,Paul Krugman,28.2.1953,"New York, NY",United States of America,United States of America,Male,Princeton University,"Princeton, NJ",United States of America,NA,NA,NA,NA,
2009,Economics,The Sveriges Riksbank Prize in Economic Sciences 2009,"""for his analysis of economic governance, especially the boundaries of the firm""",1.פבר׳,847,Individual,Oliver E. Williamson,27.9.1932,"Superior, WI",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,NA,NA,NA,NA,
2009,Economics,The Sveriges Riksbank Prize in Economic Sciences 2009,"""for her analysis of economic governance, especially the commons""",1.פבר׳,846,Individual,Elinor Ostrom,7.8.1933,"Los Angeles, CA",United States of America,United States of America,Female,Indiana University,"Bloomington, IN",United States of America,12.6.2012,"Bloomington, IN",United States of America,United States of America,
2010,Economics,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",1.מרץ,858,Individual,Christopher A. Pissarides,20.2.1948,Nicosia,Cyprus,Cyprus,Male,London School of Economics and Political Science,London,United Kingdom,NA,NA,NA,NA,
2010,Economics,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",1.מרץ,856,Individual,Peter A. Diamond,29.4.1940,"New York, NY",United States of America,United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,NA,NA,NA,NA,
2010,Economics,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",1.מרץ,857,Individual,Dale T. Mortensen,2.2.1939,"Enterprise, OR",United States of America,United States of America,Male,Northwestern University,"Evanston, IL",United States of America,9.1.2014,"Wilmette, IL",United States of America,United States of America,
2011,Economics,The Sveriges Riksbank Prize in Economic Sciences 2011,"""for their empirical research on cause and effect in the macroeconomy""",1.פבר׳,872,Individual,Thomas J. Sargent,19.7.1943,"Pasadena, CA",United States of America,United States of America,Male,New York University,"New York, NY",United States of America,NA,NA,NA,NA,
2011,Economics,The Sveriges Riksbank Prize in Economic Sciences 2011,"""for their empirical research on cause and effect in the macroeconomy""",1.פבר׳,873,Individual,Christopher A. Sims,21.10.1942,"Washington, DC",United States of America,United States of America,Male,Princeton University,"Princeton, NJ",United States of America,NA,NA,NA,NA,
2012,Economics,The Sveriges Riksbank Prize in Economic Sciences 2012,"""for the theory of stable allocations and the practice of market design""",1.פבר׳,882,Individual,Alvin E. Roth,18.12.1951,"New York, NY",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,NA,
2012,Economics,The Sveriges Riksbank Prize in Economic Sciences 2012,"""for the theory of stable allocations and the practice of market design""",1.פבר׳,883,Individual,Lloyd S. Shapley,2.6.1923,"Cambridge, MA",United States of America,United States of America,Male,University of California,"Los Angeles, CA",United States of America,12.3.2016,"Tucson, AZ",United States of America,United States of America,
2013,Economics,The Sveriges Riksbank Prize in Economic Sciences 2013,"""for their empirical analysis of asset prices""",1.מרץ,894,Individual,Eugene F. Fama,14.2.1939,"Boston, MA",United States of America,United States of America,Male,University of Chicago,"Chicago, IL",United States of America,NA,NA,NA,NA,
2013,Economics,The Sveriges Riksbank Prize in Economic Sciences 2013,"""for their empirical analysis of asset prices""",1.מרץ,895,Individual,Lars Peter Hansen,26.10.1952,"Urbana, IL",United States of America,United States of America,Male,University of Chicago,"Chicago, IL",United States of America,NA,NA,NA,NA,
2013,Economics,The Sveriges Riksbank Prize in Economic Sciences 2013,"""for their empirical analysis of asset prices""",1.מרץ,896,Individual,Robert J. Shiller,29.3.1946,"Detroit, MI",United States of America,United States of America,Male,Yale University,"New Haven, CT",United States of America,NA,NA,NA,NA,
2014,Economics,The Sveriges Riksbank Prize in Economic Sciences 2014,"""for his analysis of market power and regulation""",1.ינו׳,915,Individual,Jean Tirole,9.8.1953,Troyes,France,France,Male,Toulouse School of Economics (TSE),Toulouse,France,NA,NA,NA,NA,
2015,Economics,The Sveriges Riksbank Prize in Economic Sciences 2015,"""for his analysis of consumption, poverty, and welfare""",1.ינו׳,926,Individual,Angus Deaton,19.10.1945,Edinburgh,United Kingdom,United Kingdom,Male,Princeton University,"Princeton, NJ",United States of America,NA,NA,NA,NA,
2016,Economics,The Sveriges Riksbank Prize in Economic Sciences 2016,"""for their contributions to contract theory""",1.פבר׳,936,Individual,Bengt Holmström,18.4.1949,Helsinki,Finland,Finland,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,NA,NA,NA,NA,
2016,Economics,The Sveriges Riksbank Prize in Economic Sciences 2016,"""for their contributions to contract theory""",1.פבר׳,935,Individual,Oliver Hart,9.10.1948,London,United Kingdom,United Kingdom,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,NA,
1901,Literature,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",1.ינו׳,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,France,Male,NA,NA,NA,7.9.1907,Châtenay,France,France,
1902,Literature,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",1.ינו׳,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig (Germany),Germany,Male,NA,NA,NA,1.11.1903,Charlottenburg,Germany,Germany,
1903,Literature,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1.ינו׳,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Norway,Male,NA,NA,NA,26.4.1910,Paris,France,France,
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",1.פבר׳,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,France,Male,NA,NA,NA,25.3.1914,Maillane,France,France,
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",1.פבר׳,574,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,Spain,Male,NA,NA,NA,4.9.1916,Madrid,Spain,Spain,
1905,Literature,The Nobel Prize in Literature 1905,"""because of his outstanding merits as an epic writer""",1.ינו׳,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Poland,Male,NA,NA,NA,15.11.1916,Vevey,Switzerland,Switzerland,
1906,Literature,The Nobel Prize in Literature 1906,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",1.ינו׳,576,Individual,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany (Italy),Italy,Male,NA,NA,NA,16.2.1907,Bologna,Italy,Italy,
1907,Literature,The Nobel Prize in Literature 1907,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",1.ינו׳,577,Individual,Rudyard Kipling,1865-12-30,Bombay,British India (India),India,Male,NA,NA,NA,18.1.1936,London,United Kingdom,United Kingdom,
1908,Literature,The Nobel Prize in Literature 1908,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",1.ינו׳,578,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,East Friesland (Germany),Germany,Male,NA,NA,NA,14.9.1926,Jena,Germany,Germany,
1909,Literature,The Nobel Prize in Literature 1909,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",1.ינו׳,579,Individual,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,Sweden,Sweden,Female,NA,NA,NA,16.3.1940,Mårbacka,Sweden,Sweden,
1910,Literature,The Nobel Prize in Literature 1910,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",1.ינו׳,580,Individual,Paul Johann Ludwig Heyse,1830-03-15,Berlin,Prussia (Germany),Germany,Male,NA,NA,NA,2.4.1914,Munich,Germany,Germany,
1911,Literature,The Nobel Prize in Literature 1911,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",1.ינו׳,581,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,Belgium,Belgium,Male,NA,NA,NA,6.5.1949,Nice,France,France,
1912,Literature,The Nobel Prize in Literature 1912,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",1.ינו׳,582,Individual,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,Prussia (Germany),Germany,Male,NA,NA,NA,6.6.1946,Agnetendorf (Jagniatków),Germany (Poland),Poland,
1913,Literature,The Nobel Prize in Literature 1913,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",1.ינו׳,583,Individual,Rabindranath Tagore,1861-05-07,Calcutta,India,India,Male,NA,NA,NA,7.8.1941,Calcutta,India,India,
1915,Literature,The Nobel Prize in Literature 1915,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",1.ינו׳,584,Individual,Romain Rolland,1866-01-29,Clamecy,France,France,Male,NA,NA,NA,30.12.1944,Vézelay,France,France,
1916,Literature,The Nobel Prize in Literature 1916,"""in recognition of his significance as the leading representative of a new era in our literature""",1.ינו׳,585,Individual,Carl Gustaf Verner von Heidenstam,1859-07-06,Olshammar,Sweden,Sweden,Male,NA,NA,NA,20.5.1940,Övralid,Sweden,Sweden,
1917,Literature,The Nobel Prize in Literature 1917,"""for his authentic descriptions of present-day life in Denmark""",1.פבר׳,587,Individual,Henrik Pontoppidan,1857-07-24,Fredericia,Denmark,Denmark,Male,NA,NA,NA,21.8.1943,Ordrup,Denmark,Denmark,
1917,Literature,The Nobel Prize in Literature 1917,"""for his varied and rich poetry, which is inspired by lofty ideals""",1.פבר׳,586,Individual,Karl Adolph Gjellerup,1857-06-02,Roholte,Denmark,Denmark,Male,NA,NA,NA,11.10.1919,Klotzsche,Germany,Germany,
1919,Literature,The Nobel Prize in Literature 1919,"""in special appreciation of his epic, <I>Olympian Spring</I>""",1.ינו׳,588,Individual,Carl Friedrich Georg Spitteler,1845-04-24,Liestal,Switzerland,Switzerland,Male,NA,NA,NA,29.12.1924,Lucerne,Switzerland,Switzerland,
1920,Literature,The Nobel Prize in Literature 1920,"""for his monumental work, <I>Growth of the Soil</I>""",1.ינו׳,589,Individual,Knut Pedersen Hamsun,1859-08-04,Lom,Norway,Norway,Male,NA,NA,NA,19.2.1952,Grimstad,Norway,Norway,
1921,Literature,The Nobel Prize in Literature 1921,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",1.ינו׳,590,Individual,Anatole France,1844-04-16,Paris,France,France,Male,NA,NA,NA,12.10.1924,Saint-Cyr-sur-Loire,France,France,
1922,Literature,The Nobel Prize in Literature 1922,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",1.ינו׳,592,Individual,Jacinto Benavente,1866-08-12,Madrid,Spain,Spain,Male,NA,NA,NA,14.7.1954,Madrid,Spain,Spain,
1923,Literature,The Nobel Prize in Literature 1923,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation""",1.ינו׳,593,Individual,William Butler Yeats,1865-06-13,Dublin,Ireland,Ireland,Male,NA,NA,NA,28.1.1939,Roquebrune-Cap-Martin,France,France,
1924,Literature,The Nobel Prize in Literature 1924,"""for his great national epic, <I>The Peasants</I>""",1.ינו׳,594,Individual,Wladyslaw Stanislaw Reymont,1867-05-07,Kobiele Wielkie,Russian Empire (Poland),Poland,Male,NA,NA,NA,5.12.1925,Warsaw,Poland,Poland,
1925,Literature,The Nobel Prize in Literature 1925,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty""",1.ינו׳,596,Individual,George Bernard Shaw,1856-07-26,Dublin,Ireland,Ireland,Male,NA,NA,NA,2.11.1950,Ayot St. Lawrence,United Kingdom,United Kingdom,
1926,Literature,The Nobel Prize in Literature 1926,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",1.ינו׳,597,Individual,Grazia Deledda,1871-09-27,"Nuoro, Sardinia",Italy,Italy,Female,NA,NA,NA,15.8.1936,Rome,Italy,Italy,
1927,Literature,The Nobel Prize in Literature 1927,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",1.ינו׳,600,Individual,Henri Bergson,1859-10-18,Paris,France,France,Male,NA,NA,NA,4.1.1941,Paris,France,France,
1928,Literature,The Nobel Prize in Literature 1928,"""principally for her powerful descriptions of Northern life during the Middle Ages""",1.ינו׳,601,Individual,Sigrid Undset,1882-05-20,Kalundborg,Denmark,Denmark,Female,NA,NA,NA,10.6.1949,Lillehammer,Norway,Norway,
1929,Literature,The Nobel Prize in Literature 1929,"""principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature""",1.ינו׳,602,Individual,Thomas Mann,1875-06-06,Lübeck,Germany,Germany,Male,NA,NA,NA,12.8.1955,Zurich,Switzerland,Switzerland,
1930,Literature,The Nobel Prize in Literature 1930,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters""",1.ינו׳,603,Individual,Sinclair Lewis,1885-02-07,"Sauk Centre, MN",United States of America,United States of America,Male,NA,NA,NA,10.1.1951,Rome,Italy,Italy,
1931,Literature,The Nobel Prize in Literature 1931,"""The poetry of Erik Axel Karlfeldt""",1.ינו׳,604,Individual,Erik Axel Karlfeldt,1864-07-20,Karlbo,Sweden,Sweden,Male,NA,NA,NA,8.4.1931,Stockholm,Sweden,Sweden,
1932,Literature,The Nobel Prize in Literature 1932,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",1.ינו׳,605,Individual,John Galsworthy,1867-08-14,Kingston Hill,United Kingdom,United Kingdom,Male,NA,NA,NA,31.1.1933,London,United Kingdom,United Kingdom,
1933,Literature,The Nobel Prize in Literature 1933,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",1.ינו׳,606,Individual,Ivan Alekseyevich Bunin,1870-10-22,Voronezh,Russia,Russia,Male,NA,NA,NA,8.11.1953,Paris,France,France,
1934,Literature,The Nobel Prize in Literature 1934,"""for his bold and ingenious revival of dramatic and scenic art""",1.ינו׳,607,Individual,Luigi Pirandello,1867-06-28,"Agrigento, Sicily",Italy,Italy,Male,NA,NA,NA,10.12.1936,Rome,Italy,Italy,
1936,Literature,The Nobel Prize in Literature 1936,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy""",1.ינו׳,608,Individual,Eugene Gladstone O'Neill,1888-10-16,"New York, NY",United States of America,United States of America,Male,NA,NA,NA,27.11.1953,"Boston, MA",United States of America,United States of America,
1937,Literature,The Nobel Prize in Literature 1937,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",1.ינו׳,609,Individual,Roger Martin du Gard,1881-03-23,Neuilly-sur-Seine,France,France,Male,NA,NA,NA,22.8.1958,Bellême,France,France,
1938,Literature,The Nobel Prize in Literature 1938,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",1.ינו׳,610,Individual,Pearl Buck,1892-06-26,"Hillsboro, WV",United States of America,United States of America,Female,NA,NA,NA,6.3.1973,"Danby, VT",United States of America,United States of America,
1939,Literature,The Nobel Prize in Literature 1939,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",1.ינו׳,613,Individual,Frans Eemil Sillanpää,1888-09-16,Hämeenkyrö,Russian Empire (Finland),Finland,Male,NA,NA,NA,3.6.1964,Helsinki,Finland,Finland,
1944,Literature,The Nobel Prize in Literature 1944,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""",1.ינו׳,614,Individual,Johannes Vilhelm Jensen,1873-01-20,Farsø,Denmark,Denmark,Male,NA,NA,NA,25.11.1950,Copenhagen,Denmark,Denmark,
1945,Literature,The Nobel Prize in Literature 1945,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",1.ינו׳,615,Individual,Gabriela Mistral,1889-04-07,Vicuña,Chile,Chile,Female,NA,NA,NA,10.1.1957,"Hempstead, NY",United States of America,United States of America,
1946,Literature,The Nobel Prize in Literature 1946,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",1.ינו׳,617,Individual,Hermann Hesse,1877-07-02,Calw,Germany,Germany,Male,NA,NA,NA,9.8.1962,Montagnola,Switzerland,Switzerland,
1947,Literature,The Nobel Prize in Literature 1947,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",1.ינו׳,618,Individual,André Paul Guillaume Gide,1869-11-22,Paris,France,France,Male,NA,NA,NA,19.2.1951,Paris,France,France,
1948,Literature,The Nobel Prize in Literature 1948,"""for his outstanding, pioneer contribution to present-day poetry""",1.ינו׳,619,Individual,Thomas Stearns Eliot,1888-09-26,"St. Louis, MO",United States of America,United States of America,Male,NA,NA,NA,4.1.1965,London,United Kingdom,United Kingdom,
1949,Literature,The Nobel Prize in Literature 1949,"""for his powerful and artistically unique contribution to the modern American novel""",1.ינו׳,620,Individual,William Faulkner,1897-09-25,"New Albany, MS",United States of America,United States of America,Male,NA,NA,NA,6.7.1962,"Byhalia, MS",United States of America,United States of America,
1950,Literature,The Nobel Prize in Literature 1950,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",1.ינו׳,621,Individual,Earl (Bertrand Arthur William) Russell,1872-05-18,Trelleck,United Kingdom,United Kingdom,Male,NA,NA,NA,2.2.1970,Penrhyndeudraeth,United Kingdom,United Kingdom,
1951,Literature,The Nobel Prize in Literature 1951,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",1.ינו׳,622,Individual,Pär Fabian Lagerkvist,1891-05-23,Växjö,Sweden,Sweden,Male,NA,NA,NA,11.7.1974,Stockholm,Sweden,Sweden,
1952,Literature,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",1.ינו׳,623,Individual,François Mauriac,1885-10-11,Bordeaux,France,France,Male,NA,NA,NA,1.9.1970,Paris,France,France,
1953,Literature,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",1.ינו׳,624,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,United Kingdom,Male,NA,NA,NA,24.1.1965,London,United Kingdom,United Kingdom,
1954,Literature,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",1.ינו׳,625,Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",United States of America,United States of America,Male,NA,NA,NA,2.7.1961,"Ketchum, ID",United States of America,United States of America,
1955,Literature,The Nobel Prize in Literature 1955,"""for his vivid epic power which has renewed the great narrative art of Iceland""",1.ינו׳,626,Individual,Halldór Kiljan Laxness,23.4.1902,Reykjavik,Iceland,Iceland,Male,NA,NA,NA,8.2.1998,Reykjavik,Iceland,Iceland,
1956,Literature,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",1.ינו׳,627,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Spain,Male,NA,NA,NA,29.5.1958,San Juan,Puerto Rico,Puerto Rico,
1957,Literature,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",1.ינו׳,628,Individual,Albert Camus,7.11.1913,Mondovi,French Algeria (Algeria),Algeria,Male,NA,NA,NA,4.1.1960,Sens,France,France,
1958,Literature,The Nobel Prize in Literature 1958,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",1.ינו׳,629,Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,Russia,Male,NA,NA,NA,30.5.1960,Peredelkino,Russia,Russia,
1959,Literature,The Nobel Prize in Literature 1959,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",1.ינו׳,630,Individual,Salvatore Quasimodo,20.8.1901,Modica,Italy,Italy,Male,NA,NA,NA,14.6.1968,Naples,Italy,Italy,
1960,Literature,The Nobel Prize in Literature 1960,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",1.ינו׳,631,Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,Guadeloupe Island,Male,NA,NA,NA,20.9.1975,Presqu'île-de-Giens,France,France,
1961,Literature,The Nobel Prize in Literature 1961,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",1.ינו׳,633,Individual,Ivo Andric,1892-10-10,Dolac,Bosnia (Bosnia and Herzegovina),Bosnia,Male,NA,NA,NA,13.3.1975,Belgrade,Yugoslavia (Serbia),Serbia,
1962,Literature,The Nobel Prize in Literature 1962,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",1.ינו׳,634,Individual,John Steinbeck,27.2.1902,"Salinas, CA",United States of America,United States of America,Male,NA,NA,NA,20.12.1968,"New York, NY",United States of America,United States of America,
1963,Literature,The Nobel Prize in Literature 1963,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",1.ינו׳,635,Individual,Giorgos Seferis,13.3.1900,Smyrna (Izmir),Ottoman Empire (Turkey),Turkey,Male,NA,NA,NA,20.9.1971,Athens,Greece,Greece,
1964,Literature,The Nobel Prize in Literature 1964,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",1.ינו׳,637,Individual,Jean-Paul Sartre,21.6.1905,Paris,France,France,Male,NA,NA,NA,15.4.1980,Paris,France,France,
